parameter,row,column,ground_truth,recovered_aligned,difference,absolute_error
W1,1,1,-0.10940193948769084,-0.11289263883018866,-0.0034906993424978217,0.0034906993424978217
W1,1,2,-0.2906475515296201,-0.29088915230989243,-0.0002416007802723552,0.0002416007802723552
W1,1,3,-0.531701607986988,-0.5307908441551439,0.0009107638318440747,0.0009107638318440747
W1,2,1,-0.05850257507802438,-0.05926392793832043,-0.0007613528602960495,0.0007613528602960495
W1,2,2,-0.830162515872075,-0.8299159296475052,0.0002465862245698558,0.0002465862245698558
W1,2,3,0.1515381491624417,0.15261239506436738,0.0010742459019256745,0.0010742459019256745
W1,3,1,0.09923634657345344,0.09696406824097395,-0.002272278332479491,0.002272278332479491
W1,3,2,-0.057975131877805036,-0.05850539765453179,-0.0005302657767267543,0.0005302657767267543
W1,3,3,-0.39138356806460695,-0.3919105889295657,-0.0005270208649587604,0.0005270208649587604
W1,4,1,-0.7839413741724296,-0.7835344370287326,0.00040693714369699485,0.00040693714369699485
W1,4,2,-0.0036040396280964115,-0.002006367777431191,0.0015976718506652207,0.0015976718506652207
W1,4,3,0.0726029312143805,0.07722692777765541,0.004623996563274918,0.004623996563274918
W1,5,1,-0.3894253117111478,-0.38694184457563163,0.002483467135516171,0.002483467135516171
W1,5,2,0.28560829976505914,0.2866702579051406,0.001061958140081476,0.001061958140081476
W1,5,3,0.3493231489049737,0.3513611488333993,0.0020379999284256267,0.0020379999284256267
W1,6,1,0.031271263984759864,0.03102028110548285,-0.00025098287927701607,0.00025098287927701607
W1,6,2,-0.04051885876087093,-0.040606850540678384,-8.799177980745726e-05,8.799177980745726e-05
W1,6,3,-0.0312604089272251,-0.031408500300649095,-0.0001480913734239961,0.0001480913734239961
W1,7,1,0.21621826639066166,0.21915029763238356,0.002932031241721894,0.002932031241721894
W1,7,2,-0.28550980264912684,-0.28539009856452613,0.00011970408460071358,0.00011970408460071358
W1,7,3,0.6318428727880415,0.6308085770786914,-0.001034295709350097,0.001034295709350097
W1,8,1,-0.4010192385054057,-0.4021214897611012,-0.0011022512556954633,0.0011022512556954633
W1,8,2,-0.24135112760080213,-0.2406654987373008,0.0006856288635013197,0.0006856288635013197
W1,8,3,-0.11682471921790047,-0.11424542366321565,0.002579295554684821,0.002579295554684821
W2,1,1,0.92,0.9202153817973963,0.0002153817973962191,0.0002153817973962191
W2,1,2,0.005,0.007250169712768018,0.002250169712768018,0.002250169712768018
W2,1,3,0.075,0.07131791722398777,-0.00368208277601223,0.00368208277601223
W2,2,1,0.005,0.002499220905772944,-0.002500779094227056,0.002500779094227056
W2,2,2,0.845,0.8502158734341331,0.0052158734341331,0.0052158734341331
W2,2,3,0.15,0.1579444551725188,0.007944455172518794,0.007944455172518794
W2,3,1,0.075,0.07728539729683069,0.0022853972968306935,0.0022853972968306935
W2,3,2,0.15,0.1425339568530989,-0.007466043146901108,0.007466043146901108
W2,3,3,0.775,0.7707376276034934,-0.00426237239650662,0.00426237239650662
a,1,1,0.3333333333333333,0.3302798380257096,-0.0030534953076237215,0.0030534953076237215
a,2,1,0.3333333333333333,0.312574895552657,-0.02075843778067632,0.02075843778067632
a,3,1,0.3333333333333333,0.3553827163984694,0.022049383065136097,0.022049383065136097
