parameter,row,column,ground_truth,recovered_aligned,difference,absolute_error
W1,1,1,-0.10940193948769084,-0.11070967209685081,-0.0013077326091599784,0.0013077326091599784
W1,1,2,-0.2906475515296201,-0.2958804357693189,-0.0052328842396988096,0.0052328842396988096
W1,1,3,-0.531701607986988,-0.5283618140367536,0.0033397939502343155,0.0033397939502343155
W1,2,1,-0.05850257507802438,-0.052057118898163765,0.006445456179860615,0.006445456179860615
W1,2,2,-0.830162515872075,-0.8292363498276658,0.0009261660444092046,0.0009261660444092046
W1,2,3,0.1515381491624417,0.15925958431577944,0.00772143515333773,0.00772143515333773
W1,3,1,0.09923634657345344,0.09722961559243112,-0.002006730981022317,0.002006730981022317
W1,3,2,-0.057975131877805036,-0.060594266429058755,-0.0026191345512537184,0.0026191345512537184
W1,3,3,-0.39138356806460695,-0.39151700027942554,-0.00013343221481859624,0.00013343221481859624
W1,4,1,-0.7839413741724296,-0.7834425063923028,0.0004988677801267549,0.0004988677801267549
W1,4,2,-0.0036040396280964115,-0.008406642023446933,-0.004802602395350521,0.004802602395350521
W1,4,3,0.0726029312143805,0.07792263086185114,0.005319699647470644,0.005319699647470644
W1,5,1,-0.3894253117111478,-0.3891765791749842,0.00024873253616358726,0.00024873253616358726
W1,5,2,0.28560829976505914,0.2858533339967934,0.00024503423173427574,0.00024503423173427574
W1,5,3,0.3493231489049737,0.3494067149086484,8.356600367470657e-05,8.356600367470657e-05
W1,6,1,0.031271263984759864,0.031348597759846754,7.733377508688938e-05,7.733377508688938e-05
W1,6,2,-0.04051885876087093,-0.04056461533764869,-4.57565767777654e-05,4.57565767777654e-05
W1,6,3,-0.0312604089272251,-0.031111535359774276,0.0001488735674508232,0.0001488735674508232
W1,7,1,0.21621826639066166,0.2219626395040381,0.005744373113376444,0.005744373113376444
W1,7,2,-0.28550980264912684,-0.27865808963080957,0.006851713018317274,0.006851713018317274
W1,7,3,0.6318428727880415,0.632867078616419,0.001024205828377478,0.001024205828377478
W1,8,1,-0.4010192385054057,-0.4001113697588133,0.0009078687465924329,0.0009078687465924329
W1,8,2,-0.24135112760080213,-0.24509500118932448,-0.0037438735885223506,0.0037438735885223506
W1,8,3,-0.11682471921790047,-0.11197750270008422,0.00484721651781625,0.00484721651781625
W2,1,1,0.92,0.9022021014615195,-0.017797898538480572,0.017797898538480572
W2,1,2,0.005,-0.00781736928612676,-0.01281736928612676,0.01281736928612676
W2,1,3,0.075,0.06629568610861951,-0.008704313891380488,0.008704313891380488
W2,2,1,0.005,0.016959469740528962,0.011959469740528961,0.011959469740528961
W2,2,2,0.845,0.8470235701812935,0.0020235701812935103,0.0020235701812935103
W2,2,3,0.15,0.14023471974328,-0.009765280256719994,0.009765280256719994
W2,3,1,0.075,0.08083842879795151,0.005838428797951517,0.005838428797951517
W2,3,2,0.15,0.16079379910483335,0.010793799104833357,0.010793799104833357
W2,3,3,0.775,0.7934695941481006,0.018469594148100565,0.018469594148100565
a,1,1,0.3333333333333333,0.3586160343772522,0.025282701043918887,0.025282701043918887
a,2,1,0.3333333333333333,0.3279780697387443,-0.005355263594588988,0.005355263594588988
a,3,1,0.3333333333333333,0.30524160234580067,-0.028091730987532648,0.028091730987532648
